subject,mean_radius,mean_curvature,length,snr_t1,snr_fa,contrast,pv,imbalance,difficulty_score,difficulty_tier
562345,1.0499784,0.49410668,71.376015,3.9451797,1.461936,0.07890162,0.8821385,0.00022496481,2.3755841,easy
562446,1.0583625,0.49800047,81.925285,3.1436443,1.3244592,0.07859062,0.8636816,0.00027471402,2.9344769,hard
565452,1.0303464,0.46259478,62.911915,3.2284226,1.3057928,0.07165049,0.9279141,0.00017822243,3.2176886,hard
567052,1.0597554,0.3908134,67.31492,3.8184445,1.352471,0.077973664,0.85663927,0.00023261853,2.2023613,easy
567759,1.0550529,0.5643051,66.168655,3.3511581,1.4576555,0.08140764,0.8697674,0.00023507865,2.5368545,medium
567961,1.0451341,0.46543708,68.59748,3.1509626,1.3014728,0.07192901,0.8955399,0.00023289188,3.1954503,hard
570243,1.0538877,0.46500766,76.68973,3.609158,1.3743176,0.08588466,0.8778468,0.00026405347,2.6119013,medium
571144,1.0519136,0.5493383,84.57874,3.6402624,1.3388989,0.08707887,0.8770226,0.00025339294,2.6596756,medium
576255,1.0518486,0.4873051,71.872,3.4130313,1.2599651,0.08780219,0.87482613,0.00019653668,2.4282877,easy
578158,1.0524193,0.4049077,74.48237,3.7292674,1.2693315,0.089057535,0.87836105,0.00021348422,2.3218305,easy
580044,1.0388422,0.4611356,67.16526,3.8270595,1.4094776,0.085448846,0.90725803,0.00020337038,2.4878776,easy
583858,1.0340797,0.4500116,71.478966,5.7856517,1.4088845,0.056914985,0.92086333,0.00018997636,2.8516588,hard
585256,1.0595931,0.42488697,73.09346,3.644719,1.1929524,0.08105901,0.8606477,0.00027854086,2.8026927,hard
588565,1.0388944,0.48864838,71.61208,3.5487657,1.4456574,0.08402985,0.9071332,0.00020309702,2.5888195,medium
599065,1.0546682,0.44048303,69.11464,4.56373,1.5040898,0.07576862,0.86890954,0.00023562535,2.0779264,easy
609143,1.0490186,0.45499098,80.004166,3.7448215,1.4001572,0.07938081,0.8848997,0.00025885986,2.685333,medium
615441,1.0541751,0.461667,75.528854,3.439007,1.3271422,0.08413154,0.8775956,0.00025011276,2.6829896,medium
645450,1.0619093,0.50017726,78.70383,3.6906977,1.3192542,0.074338585,0.85699266,0.00025995326,2.654737,medium
680250,1.0607251,0.3800544,72.55635,3.1921704,1.3936256,0.089174405,0.86150235,0.00023289188,2.2339365,easy
698168,1.0562416,0.468858,70.75031,3.4805431,1.2055814,0.08408025,0.87224156,0.000235352,2.7245905,medium
701535,1.0400842,0.49319434,82.45366,3.2672868,1.3694308,0.06413141,0.90755355,0.00024245903,3.473646,hard
713239,1.0526885,0.42130265,59.576073,3.051064,1.2482718,0.09564398,0.8799534,0.00023453197,2.6935947,medium
731140,1.0566491,0.40663463,67.23633,3.4413364,1.1991695,0.0953099,0.87198985,0.000215671,2.3953629,easy
760551,1.0540057,0.4685408,68.37919,3.8550572,1.2414773,0.09420726,0.87472284,0.00024655924,2.4757454,easy
788674,1.0640396,0.5179246,78.407166,3.988759,1.3445089,0.0696497,0.8546392,0.00026514687,2.6573024,medium
818455,1.0380324,0.42176357,80.7216,5.3404922,1.5123719,0.067946106,0.9099099,0.00024273238,2.5954883,medium
827052,1.0415702,0.39631286,65.15048,3.2807825,1.3748627,0.08181918,0.90199083,0.00017849577,2.515068,medium
841349,1.0433878,0.4615162,78.73461,3.2789626,1.3087882,0.08371636,0.8979834,0.00023043175,2.9040022,hard
849264,1.0600849,0.5093371,74.613655,3.2994637,1.0897104,0.08617954,0.8622328,0.0002301584,2.8899446,hard
852455,1.0635401,0.5221735,79.45366,3.5226061,1.3705093,0.097708344,0.8541458,0.00027362062,2.328768,easy
872562,1.0629139,0.4761517,73.8002,3.7272608,1.4250562,0.081178606,0.8518519,0.0002804543,2.3934073,easy
885975,1.0513946,0.4922181,73.14335,3.4877555,1.4199857,0.08116464,0.88249695,0.00022332472,2.529374,medium
886674,1.0559,0.548433,96.548965,4.3066897,1.2360072,0.06503624,0.87216496,0.00026514687,3.0989308,hard
910443,1.0542045,0.4970515,63.67925,4.1344852,1.3761263,0.07071605,0.8768036,0.0002462859,2.6705213,medium
919966,1.0371382,0.4719918,76.357285,3.2571323,1.1374189,0.08742176,0.91223735,0.00022113795,3.2706704,hard
957974,1.058638,0.5157473,68.36141,3.4652126,1.444834,0.083069876,0.8668122,0.0002503861,2.4748478,easy
973770,1.0499331,0.4775593,66.09346,3.3969083,1.3787754,0.08684488,0.88427675,0.00021731108,2.4910266,easy
